i2c;pin;kanal;io;key;adresse;info
32;0;01;1;shift+a;;
32;1;02;1;strg+a;;
32;2;03;1;a;;
32;3;04;1;;36;
32;4;05;1;;35;
32;5;06;1;;;
32;6;07;1;;;
32;7;08;0;;;
32;8;09;1;;;
32;9;10;1;;;
32;10;11;1;;;
32;11;12;0;;;
32;12;13;0;;;
32;13;14;0;;;
32;14;15;0;;;
32;15;16;0;;;
33;0;17;1;;;
33;1;18;1;;;
33;2;19;1;;;
33;3;20;1;b;;blinker rechts
33;4;21;1;;;
33;5;22;1;;;
33;6;23;1;;;
33;7;-1;0;;;
33;8;dc(24);1;;dc(24);Bremstaster am Hebel
33;9;26;1;;;
33;10;27;1;;;
33;11;28;1;;;
33;12;29;1;;;
33;13;30;1;;;
33;14;31;1;;;
33;15;32;0;;;
34;0;33;1;;;
34;1;-1;1;;;
34;2;ac(34);1;;ac(34);Beschleunigungstaster am Hebel
34;3;36;1;;;
34;4;37;1;;;
34;5;38;1;;;
34;6;39;1;;;
34;7;40;0;;;
34;8;41;1;;;
34;9;42;0;;;
34;10;43;0;;;
34;11;44;0;;;
34;12;45;0;;;
34;13;46;0;;;
34;14;47;0;;;
34;15;48;0;;;
35;0;49;1;;;
35;1;50;0;;;
35;2;51;0;;;
35;3;52;0;;;
35;4;53;0;;;
35;5;54;0;;;
35;6;55;0;;;
35;7;56;0;;;
35;8;57;1;;;
35;9;58;1;;;
35;10;59;1;;;
35;11;60;1;;;
35;12;61;1;;;
35;13;62;1;;;
35;14;63;1;;;
35;15;64;0;;;
36;0;75;1;;;
36;1;76;0;;;
36;2;-1;0;;;
36;3;77;0;;;
36;4;78;0;;;
36;5;79;0;;;
36;6;80;0;;;
36;7;81;0;;;
36;8;82;1;;;
36;9;83;1;;;
36;10;84;1;;;
36;11;85;1;;;
36;12;86;1;;;
36;13;87;1;;;
36;14;88;1;;;
36;15;89;0;;;
37;0;90;1;;;
37;1;91;1;;;
37;2;92;1;;;
37;3;93;1;;;
37;4;94;1;;;
37;5;95;1;;;
37;6;96;1;;;
37;7;97;0;;;
37;8;98;1;;;
37;9;99;0;;;
37;10;35;0;;;
37;11;-1;0;;;
37;12;-1;0;;;
37;13;-1;0;;;
37;14;-1;0;;;
37;15;-1;0;;;test
