i2c;pin;kanal;io;key;adresse;info
32;0;1;0;shift+a;;
32;1;2;1;strg+a;;
32;2;3;1;a;;
32;3;4;1;;34;
32;4;5;0;;35;
32;5;6;0;;;
32;6;7;0;;;
32;7;8;0;;;
32;8;9;1;;;
32;9;10;1;;;
32;10;11;1;;;
32;11;12;0;;;
32;12;13;0;;;
32;13;14;0;;;
32;14;15;0;;;
32;15;16;1;;;
33;0;17;1;;;
33;1;18;1;;;
33;2;19;0;;;
33;3;20;0;;;
33;4;21;0;;;
33;5;22;0;;;
33;6;23;1;;;
33;7;24;1;;;
33;8;dc;1;;dc;Bremstaster am Hebel
33;9;26;0;;;
33;10;27;0;;;
33;11;28;0;;;
33;12;29;0;;;
33;13;30;1;;;
33;14;31;1;;;
33;15;32;1;;;
34;0;33;0;;;
34;1;34;0;;;
34;2;ac;0;;ac;Beschleunigungstaster am Hebel
34;3;36;0;;;
34;4;37;1;;;
34;5;38;1;;;
34;6;39;1;;;
34;7;40;0;;;
34;8;41;0;;;
34;9;42;0;;;
34;10;43;0;;;
34;11;44;1;;;
34;12;45;1;;;
34;13;46;1;;;
34;14;47;0;;;
34;15;48;0;;;
35;0;49;0;shift+c;;
35;1;50;0;;;
35;2;51;1;;;
35;3;52;1;;;
35;4;53;1;;;
35;5;54;0;;;
35;6;55;0;;;
35;7;56;0;;;
35;8;57;0;;;
35;9;58;1;;;
35;10;59;1;;;
35;11;60;1;;;
35;12;61;0;;;
35;13;62;0;;;
35;14;63;0;;;
35;15;64;0;;;
36;0;75;0;;;
36;1;76;0;;;
36;2;;0;;;
36;3;77;0;;;
36;4;78;1;;;
36;5;79;1;;;
36;6;80;1;;;
36;7;81;0;;;
36;8;82;0;;;
36;9;83;0;;;
36;10;84;0;;;
36;11;85;1;;;
36;12;86;1;;;
36;13;87;1;;;
36;14;88;0;;;
36;15;89;0;;;
37;0;90;0;;;
37;1;91;0;;;
37;2;92;1;;;
37;3;93;1;;;
37;4;94;1;;;
37;5;95;0;;;
37;6;96;0;;;
37;7;97;0;;;
37;8;98;0;;;
37;9;99;1;;;
37;10;35;1;;;
37;11;-1;1;;;
37;12;-1;0;;;
37;13;-1;0;;;
37;14;-1;0;;;
37;15;-1;0;;;test
